p_w,1+0_Paths,1+1_Paths,1+2_Paths,1+4_Paths,1+9_Paths,1+99_Paths
0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.05263157894736842,0.9473684210526316,0.997229916897507,0.9998542061525003,0.9999995961389266,0.9999999999998369,1.0
0.10526315789473684,0.8947368421052632,0.9889196675900277,0.998833649220003,0.999987076445651,0.9999999998329817,1.0
0.15789473684210525,0.8421052631578947,0.9750692520775623,0.9960635661175098,0.9999018617591623,0.9999999903688856,1.0
0.21052631578947367,0.7894736842105263,0.9556786703601108,0.9906691937600234,0.999586446260832,0.9999998289733049,1.0
0.2631578947368421,0.736842105263158,0.9307479224376731,0.9817757690625456,0.9987379341456056,0.9999984071897792,1.0
0.3157894736842105,0.6842105263157895,0.9002770083102494,0.9685085289400788,0.9968595762931934,0.9999901377389417,1.0
0.3684210526315789,0.631578947368421,0.8642659279778393,0.949992710307625,0.9932123069392621,0.9999539272229132,1.0
0.42105263157894735,0.5789473684210527,0.8227146814404432,0.9253535500801866,0.9867662803466258,0.9998248686641359,1.0
0.47368421052631576,0.5263157894736843,0.7756232686980611,0.8937162851727658,0.9761524074764377,0.9994312923308302,1.0
0.5263157894736842,0.4736842105263158,0.7229916897506925,0.8542061525003646,0.9596138926593808,0.998368962333872,1.0
0.5789473684210527,0.42105263157894735,0.6648199445983379,0.805948388977985,0.9349577702668592,0.9957695083513414,1.0
0.631578947368421,0.368421052631579,0.6011080332409973,0.7480682315206298,0.8995064413821903,0.9899010446763289,1.0
0.6842105263157894,0.3157894736842106,0.5318559556786705,0.679690917043301,0.8500492104717947,0.9775147607198679,1.0
0.7368421052631579,0.26315789473684215,0.4570637119113574,0.5999416824610002,0.7827938220563879,0.952821476263128,0.9999999999999454
0.7894736842105263,0.21052631578947367,0.3767313019390581,0.5079457646887301,0.6933179973821725,0.9059461492703188,0.9999999999458291
0.8421052631578947,0.1578947368421053,0.29085872576177296,0.40282840064149306,0.5765209710920283,0.8206655120751614,0.9999999655936843
0.894736842105263,0.10526315789473695,0.1994459833795016,0.283714827234291,0.426575027896704,0.6711838013683342,0.9999852248451032
0.9473684210526315,0.052631578947368474,0.1024930747922439,0.14973028138212585,0.23687703924600778,0.41764334677006065,0.9955136782711311
1.0,0.0,0.0,0.0,0.0,0.0,0.0
