UE,RSRP,RSRQ,SINR,Cluster,Time
ue1,-110.0,-13.0,13.0,0,2025-06-07 23:23:48.713671
ue0,-91.0,-15.0,9.0,2,2025-06-07 23:23:48.725041
ue1,-110.0,-12.0,13.0,0,2025-06-07 23:23:49.965213
ue0,-91.0,-14.0,8.0,2,2025-06-07 23:23:49.976580
ue1,-109.0,-13.0,13.0,0,2025-06-07 23:23:51.231918
ue0,-89.0,-12.0,12.0,2,2025-06-07 23:23:51.231981
ue1,-109.0,-10.0,12.0,0,2025-06-07 23:23:52.563206
ue0,-86.0,-12.0,10.0,2,2025-06-07 23:23:52.563293
ue1,-109.0,-11.0,15.0,0,2025-06-07 23:23:53.822771
ue0,-88.0,-11.0,10.0,2,2025-06-07 23:23:53.822840
ue1,-109.0,-11.0,15.0,0,2025-06-07 23:23:55.081343
ue0,-89.0,-11.0,10.0,2,2025-06-07 23:23:55.081373
ue0,-89.0,-11.0,10.0,2,2025-06-07 23:23:56.334061
ue1,-111.0,-12.0,13.0,0,2025-06-07 23:23:56.345273
ue0,-89.0,-11.0,10.0,2,2025-06-07 23:23:57.587563
ue1,-112.0,-11.0,14.0,0,2025-06-07 23:23:57.628204
ue0,-89.0,-11.0,10.0,2,2025-06-07 23:23:58.839082
ue1,-113.0,-11.0,13.0,0,2025-06-07 23:23:58.880919
ue0,-88.0,-11.0,10.0,2,2025-06-07 23:24:00.089704
ue1,-111.0,-12.0,14.0,0,2025-06-07 23:24:00.131818
ue0,-89.0,-12.0,10.0,2,2025-06-07 23:24:01.341201
ue1,-108.0,-9.0,12.0,0,2025-06-07 23:24:01.383655
ue0,-89.0,-12.0,10.0,2,2025-06-07 23:24:02.592673
ue1,-111.0,-12.0,14.0,0,2025-06-07 23:24:02.635632
ue0,-89.0,-12.0,10.0,2,2025-06-07 23:24:03.843558
ue1,-109.0,-13.0,13.0,0,2025-06-07 23:24:03.886956
ue0,-88.0,-12.0,10.0,2,2025-06-07 23:24:05.094545
ue1,-108.0,-11.0,14.0,0,2025-06-07 23:24:05.138471
ue0,-89.0,-11.0,10.0,2,2025-06-07 23:24:06.356788
ue1,-109.0,-10.0,15.0,0,2025-06-07 23:24:06.389970
ue0,-88.0,-12.0,10.0,2,2025-06-07 23:24:07.607550
ue1,-108.0,-10.0,15.0,0,2025-06-07 23:24:07.641468
ue0,-88.0,-12.0,10.0,2,2025-06-07 23:24:08.859069
ue1,-108.0,-12.0,15.0,0,2025-06-07 23:24:08.892959
ue0,-88.0,-12.0,11.0,2,2025-06-07 23:24:10.123565
ue1,-107.0,-9.0,15.0,0,2025-06-07 23:24:10.143531
ue0,-89.0,-12.0,10.0,2,2025-06-07 23:24:11.375034
ue1,-109.0,-12.0,14.0,0,2025-06-07 23:24:11.395044
ue1,-108.0,-12.0,14.0,0,2025-06-07 23:24:12.672770
ue0,-89.0,-12.0,9.0,2,2025-06-07 23:24:12.672875
ue1,-109.0,-10.0,13.0,0,2025-06-07 23:24:13.929422
ue0,-89.0,-12.0,10.0,2,2025-06-07 23:24:13.929530
ue1,-109.0,-9.0,14.0,0,2025-06-07 23:24:15.180787
ue0,-89.0,-12.0,10.0,2,2025-06-07 23:24:15.180930
ue1,-110.0,-9.0,15.0,0,2025-06-07 23:24:16.431592
ue0,-91.0,-14.0,8.0,2,2025-06-07 23:24:16.431622
ue0,-91.0,-15.0,8.0,2,2025-06-07 23:24:17.683150
ue1,-109.0,-10.0,15.0,0,2025-06-07 23:24:17.683249
ue1,-109.0,-12.0,13.0,0,2025-06-07 23:24:18.934731
ue0,-91.0,-15.0,8.0,2,2025-06-07 23:24:18.934820
ue0,-92.0,-15.0,8.0,2,2025-06-07 23:24:20.185545
ue1,-111.0,-9.0,15.0,0,2025-06-07 23:24:20.186159
ue1,-113.0,-15.0,11.0,1,2025-06-07 23:24:21.437080
ue0,-92.0,-15.0,7.0,2,2025-06-07 23:24:21.437156
ue0,-92.0,-15.0,8.0,2,2025-06-07 23:24:22.688704
ue1,-113.0,-11.0,12.0,0,2025-06-07 23:24:22.688737
ue1,-110.0,-13.0,13.0,0,2025-06-07 23:24:23.950343
ue0,-92.0,-15.0,7.0,2,2025-06-07 23:24:23.958583
ue1,-112.0,-13.0,12.0,0,2025-06-07 23:24:25.202180
ue0,-92.0,-15.0,8.0,2,2025-06-07 23:24:25.210103
ue1,-111.0,-13.0,12.0,0,2025-06-07 23:24:26.453871
ue0,-91.0,-14.0,8.0,2,2025-06-07 23:24:26.461607
ue1,-111.0,-10.0,13.0,0,2025-06-07 23:24:27.705498
ue0,-92.0,-15.0,9.0,2,2025-06-07 23:24:27.713112
ue1,-111.0,-12.0,13.0,0,2025-06-07 23:24:28.957108
ue0,-92.0,-14.0,8.0,2,2025-06-07 23:24:28.964693
ue1,-108.0,-9.0,14.0,0,2025-06-07 23:24:30.208689
ue0,-92.0,-15.0,9.0,2,2025-06-07 23:24:30.215660
ue1,-110.0,-11.0,13.0,0,2025-06-07 23:24:31.459696
ue0,-92.0,-15.0,9.0,2,2025-06-07 23:24:31.467372
ue1,-109.0,-9.0,13.0,0,2025-06-07 23:24:32.711228
ue0,-92.0,-15.0,8.0,2,2025-06-07 23:24:32.718827
ue1,-109.0,-9.0,15.0,0,2025-06-07 23:24:33.962704
ue0,-92.0,-15.0,8.0,2,2025-06-07 23:24:33.970551
ue1,-109.0,-11.0,15.0,0,2025-06-07 23:24:35.214281
ue0,-92.0,-15.0,8.0,2,2025-06-07 23:24:35.222031
ue1,-110.0,-10.0,14.0,0,2025-06-07 23:24:36.465064
ue0,-91.0,-14.0,8.0,2,2025-06-07 23:24:36.473677
ue1,-111.0,-10.0,13.0,0,2025-06-07 23:24:37.716568
ue0,-91.0,-14.0,8.0,2,2025-06-07 23:24:37.725169
ue1,-109.0,-9.0,14.0,0,2025-06-07 23:24:38.967572
ue0,-91.0,-15.0,8.0,2,2025-06-07 23:24:38.976590
ue1,-109.0,-9.0,14.0,0,2025-06-07 23:24:40.219074
ue0,-91.0,-14.0,8.0,2,2025-06-07 23:24:40.227621
ue1,-108.0,-12.0,13.0,0,2025-06-07 23:24:41.470581
ue0,-91.0,-15.0,7.0,2,2025-06-07 23:24:41.479336
ue1,-109.0,-9.0,14.0,0,2025-06-07 23:24:42.722051
ue0,-91.0,-14.0,8.0,2,2025-06-07 23:24:42.730865
ue1,-110.0,-13.0,12.0,0,2025-06-07 23:24:43.973558
ue0,-91.0,-14.0,8.0,2,2025-06-07 23:24:43.982392
ue1,-110.0,-14.0,13.0,0,2025-06-07 23:24:45.225099
ue0,-91.0,-14.0,8.0,2,2025-06-07 23:24:45.233883
ue1,-108.0,-12.0,13.0,0,2025-06-07 23:24:46.476650
ue0,-91.0,-14.0,9.0,2,2025-06-07 23:24:46.485343
ue1,-108.0,-10.0,14.0,0,2025-06-07 23:24:47.801815
ue0,-90.0,-14.0,9.0,2,2025-06-07 23:24:47.801863
ue1,-108.0,-12.0,13.0,0,2025-06-07 23:24:49.063821
ue0,-88.0,-12.0,9.0,2,2025-06-07 23:24:49.063958
ue1,-107.0,-16.0,14.0,1,2025-06-07 23:24:50.325479
ue0,-89.0,-14.0,9.0,2,2025-06-07 23:24:50.325937
ue1,-107.0,-12.0,16.0,0,2025-06-07 23:24:51.576963
ue0,-89.0,-13.0,10.0,2,2025-06-07 23:24:51.577310
ue1,-109.0,-13.0,13.0,0,2025-06-07 23:24:52.831896
ue1,-109.0,-10.0,14.0,0,2025-06-07 23:24:54.093771
ue1,-107.0,-10.0,15.0,0,2025-06-07 23:24:55.356787
ue1,-102.0,-8.0,15.0,0,2025-06-07 23:24:56.610916
ue1,-101.0,-12.0,14.0,0,2025-06-07 23:24:57.875792
ue1,-102.0,-7.0,16.0,0,2025-06-07 23:24:59.127301
ue1,-102.0,-10.0,15.0,0,2025-06-07 23:25:00.378773
ue1,-102.0,-9.0,15.0,0,2025-06-07 23:25:01.630359
ue1,-102.0,-11.0,15.0,0,2025-06-07 23:25:02.881866
ue1,-105.0,-9.0,15.0,0,2025-06-07 23:25:04.133409
ue1,-104.0,-8.0,16.0,0,2025-06-07 23:25:05.384652
ue1,-102.0,-12.0,15.0,0,2025-06-07 23:25:06.635544
ue1,-102.0,-13.0,15.0,0,2025-06-07 23:25:07.887047
ue1,-101.0,-10.0,15.0,0,2025-06-07 23:25:09.138543
ue1,-101.0,-7.0,16.0,0,2025-06-07 23:25:10.390021
ue1,-102.0,-9.0,15.0,0,2025-06-07 23:25:11.641499
ue1,-100.0,-7.0,17.0,0,2025-06-07 23:25:12.892981
ue1,-102.0,-8.0,15.0,0,2025-06-07 23:25:14.143582
ue1,-103.0,-8.0,16.0,0,2025-06-07 23:25:15.395072
ue1,-104.0,-8.0,16.0,0,2025-06-07 23:25:16.646569
ue1,-103.0,-7.0,14.0,0,2025-06-07 23:25:17.898088
ue1,-102.0,-10.0,15.0,0,2025-06-07 23:25:19.149601
ue1,-102.0,-13.0,15.0,0,2025-06-07 23:25:20.405872
ue1,-102.0,-8.0,16.0,0,2025-06-07 23:25:21.668553
ue1,-102.0,-8.0,16.0,0,2025-06-07 23:25:22.919537
ue1,-102.0,-8.0,16.0,0,2025-06-07 23:25:24.171046
ue1,-103.0,-8.0,16.0,0,2025-06-07 23:25:25.433567
ue1,-104.0,-8.0,14.0,0,2025-06-07 23:25:26.697205
ue1,-102.0,-7.0,15.0,0,2025-06-07 23:25:27.948852
ue1,-101.0,-13.0,16.0,0,2025-06-07 23:25:29.199561
ue1,-102.0,-8.0,15.0,0,2025-06-07 23:25:30.451091
ue1,-102.0,-13.0,15.0,0,2025-06-07 23:25:31.702610
ue1,-100.0,-13.0,16.0,0,2025-06-07 23:25:32.954139
ue1,-105.0,-8.0,10.0,0,2025-06-07 23:25:34.212523
ue1,-110.0,-10.0,14.0,0,2025-06-07 23:25:35.469976
ue1,-109.0,-10.0,15.0,0,2025-06-07 23:25:36.721454
ue1,-109.0,-11.0,15.0,0,2025-06-07 23:25:37.973071
ue1,-109.0,-8.0,14.0,0,2025-06-07 23:25:39.224766
ue1,-104.0,-8.0,15.0,0,2025-06-07 23:25:40.475540
ue1,-102.0,-9.0,15.0,0,2025-06-07 23:25:41.727063
ue1,-104.0,-9.0,16.0,0,2025-06-07 23:25:42.978581
ue1,-104.0,-11.0,15.0,0,2025-06-07 23:25:44.230098
ue1,-103.0,-7.0,16.0,0,2025-06-07 23:25:45.481573
