Time,UE1 RSRP,UE1 RSRQ,UE1 SINR,UE1 Datagrams Loss Ratio,UE1 Total Datagrams
19:16:25,-63,-11,31,0.00E+00,1822
19:16:26,-64,-11,31,0.00E+00,1839
19:16:27,,,,0.00E+00,1821
19:16:28,-64,-11,31,0.00E+00,1833
19:16:29,-62,-11,31,0.00E+00,1839
19:16:30,-61,-11,31,0.00E+00,1837
19:16:31,-64,-11,31,0.00E+00,1828
19:16:32,-62,-11,31,0.00E+00,1831
19:16:33,-60,-11,31,0.00E+00,1827
19:16:34,-62,-11,32,0.00E+00,1835
19:16:35,-61,-11,32,0.00E+00,1825
19:16:36,-61,-11,32,0.00E+00,1830
19:16:37,-62,-11,32,0.00E+00,1836
19:16:38,-62,-11,32,0.00E+00,1834
19:16:39,-62,-11,32,0.00E+00,1827
19:16:40,-62,-11,32,0.00E+00,1832
19:16:41,,,,0.00E+00,1826
19:16:42,-62,-11,32,0.00E+00,1822
19:16:43,-61,-11,32,0.00E+00,1841
19:16:44,-62,-11,32,0.00E+00,1833
19:16:45,-62,-11,32,0.00E+00,1836
19:16:46,-61,-11,32,0.00E+00,1827
19:16:47,-63,-11,32,0.00E+00,1834
19:16:48,-63,-11,32,0.00E+00,1816
19:16:49,-64,-11,32,0.00E+00,1838
19:16:50,-62,-11,32,0.00E+00,1839
19:16:51,-60,-11,32,0.00E+00,1821
19:16:52,-63,-11,32,0.00E+00,1830
19:16:53,-63,-11,32,0.00E+00,1824
19:16:54,-61,-11,32,0.00E+00,1853
19:16:55,,,,0.00E+00,1820
19:16:56,-62,-11,32,0.00E+00,1836
19:16:57,-63,-11,32,0.00E+00,1837
19:22:21,-66,-11,30,0.00E+00,1858
19:22:22,-64,-11,29,0.00E+00,1826
19:22:23,-64,-11,30,0.00E+00,1830
19:22:24,-64,-11,30,0.00E+00,1837
19:22:25,-66,-11,30,0.00E+00,1829
19:22:26,-63,-11,30,0.00E+00,1826
19:22:27,-66,-11,30,0.00E+00,1840
19:22:28,-64,-11,30,0.00E+00,1827
19:22:29,-64,-11,31,0.00E+00,1829
19:22:30,-66,-11,31,0.00E+00,1829
19:22:31,,,,0.00E+00,1823
19:22:32,-68,-11,31,0.00E+00,1839
19:22:33,-65,-11,29,0.00E+00,1836
19:22:34,-70,-11,29,0.00E+00,1830
19:22:35,-67,-11,30,0.00E+00,1832
19:22:36,-71,-11,30,0.00E+00,1835
19:22:37,-68,-11,30,0.00E+00,1827
19:22:38,-68,-11,30,0.00E+00,1831
19:22:39,-68,-11,30,0.00E+00,1834
19:22:40,-70,-11,30,0.00E+00,1830
19:22:41,-67,-11,30,0.00E+00,1830
19:22:42,-68,-11,30,0.00E+00,1825
19:22:43,-68,-11,30,0.00E+00,1825
19:22:44,-68,-11,30,0.00E+00,1847
19:22:45,,,,0.00E+00,1832
19:22:46,-69,-11,30,0.00E+00,1822
19:22:47,-67,-11,29,0.00E+00,1840
19:22:48,-72,-11,29,0.00E+00,1812
19:22:49,-68,-11,30,0.00E+00,1845
19:22:50,-73,-11,30,0.00E+00,1833
19:22:51,-72,-11,29,0.00E+00,1834
19:22:52,-70,-11,29,0.00E+00,1822
19:22:53,-68,-11,30,0.00E+00,1831
19:22:54,-66,-11,30,0.00E+00,1829
19:22:55,-70,-11,29,0.00E+00,1837
19:22:56,-69,-11,30,0.00E+00,1831
19:22:57,-67,-11,29,0.00E+00,1829
19:22:58,-69,-11,29,0.00E+00,1832
19:22:59,-69,-11,30,0.00E+00,1821
19:23:00,,,,0.00E+00,1845
19:23:01,-69,-11,30,0.00E+00,1833
19:23:02,-68,-11,30,0.00E+00,1828
19:23:03,-67,-11,30,0.00E+00,1824
19:23:04,-70,-11,30,0.00E+00,1828
19:23:05,-67,-11,30,0.00E+00,1837
19:23:06,-68,-11,29,0.00E+00,1833
19:23:07,-72,-11,29,0.00E+00,1830
19:23:08,-68,-11,29,0.00E+00,1836
19:23:09,-66,-11,29,0.00E+00,1826
19:23:10,-72,-11,30,0.00E+00,1833
19:23:11,-69,-11,30,0.00E+00,1832
19:23:12,-69,-11,30,0.00E+00,1823
19:23:13,,,,0.00E+00,1838
19:23:14,-72,-11,30,0.00E+00,1826
19:23:15,-66,-11,29,0.00E+00,1838
19:23:16,-69,-11,29,0.00E+00,1835
19:23:17,-69,-11,29,0.00E+00,1826
19:23:18,-66,-11,29,0.00E+00,1828
19:23:19,-74,-11,29,0.00E+00,1836
19:23:20,-66,-11,29,0.00E+00,1821
19:23:21,-67,-11,29,0.00E+00,1840
19:23:22,-69,-11,30,0.00E+00,1832
19:23:23,-69,-11,30,0.00E+00,1827
19:23:24,-69,-11,29,0.00E+00,1836
19:23:25,-67,-11,29,0.00E+00,1823
19:23:26,,,,0.00E+00,1833
19:23:27,-69,-11,30,0.00E+00,1836
19:23:28,-69,-11,30,0.00E+00,1832
19:23:29,-67,-11,30,0.00E+00,1826
19:23:30,-68,-11,29,0.00E+00,1822
19:23:31,-68,-11,30,0.00E+00,1849
19:23:32,-66,-11,30,0.00E+00,1824
19:23:33,-68,-11,30,0.00E+00,1836
19:23:34,-66,-11,30,0.00E+00,1828
19:23:35,-68,-11,30,0.00E+00,1829
19:23:36,-66,-11,30,0.00E+00,1824
19:23:37,-70,-11,30,0.00E+00,1843
19:23:38,-66,-11,29,0.00E+00,1828
19:23:39,-66,-11,30,0.00E+00,1832
19:23:40,,,,0.00E+00,1830
19:23:41,-67,-11,30,0.00E+00,1829
19:23:42,-66,-11,30,0.00E+00,1832
19:23:43,-68,-11,30,0.00E+00,1835
19:23:44,-66,-11,30,0.00E+00,1833
19:23:45,-66,-11,30,0.00E+00,1827
19:23:46,-68,-11,30,0.00E+00,1827
19:23:47,-68,-11,30,0.00E+00,1840
19:23:48,-68,-11,30,0.00E+00,1828
19:23:49,-69,-11,29,0.00E+00,1831
19:23:50,-71,-11,30,0.00E+00,1824
19:23:51,-70,-11,29,0.00E+00,1838
19:23:52,-68,-11,29,0.00E+00,1825
19:23:53,-69,-11,30,0.00E+00,1833
19:23:54,,,,0.00E+00,1833
19:23:55,-69,-11,30,0.00E+00,1834
19:23:56,-69,-11,29,0.00E+00,1828
19:23:57,-66,-11,30,0.00E+00,1834
19:23:58,-68,-11,30,0.00E+00,1829
19:23:59,-69,-11,30,0.00E+00,1829
19:24:00,-68,-11,29,0.00E+00,1837
19:24:01,-70,-11,29,0.00E+00,1827
19:24:02,-66,-11,29,0.00E+00,1823
19:24:03,-70,-11,29,0.00E+00,1836
19:24:04,-68,-11,30,0.00E+00,1835
19:24:05,-68,-11,30,0.00E+00,1827
19:24:06,-68,-11,30,0.00E+00,1831
19:24:07,-67,-11,30,0.00E+00,1832
19:24:08,,,,0.00E+00,1831
19:24:09,-67,-11,30,0.00E+00,1837
19:24:10,-70,-11,30,0.00E+00,1827
19:24:11,-70,-11,30,0.00E+00,1828
19:24:12,-70,-11,30,0.00E+00,1838
19:24:13,-68,-11,30,0.00E+00,1823
19:24:14,-68,-11,30,0.00E+00,1838
19:24:15,-73,-11,30,0.00E+00,1827
19:24:16,-67,-11,30,0.00E+00,1827
19:24:17,-70,-11,30,0.00E+00,1842
19:24:18,-73,-11,29,0.00E+00,1816
19:24:19,-73,-11,29,0.00E+00,1840
19:24:20,-66,-11,29,0.00E+00,1835
19:24:21,-68,-11,29,0.00E+00,1826
19:24:22,,,,0.00E+00,1834
19:24:23,-74,-11,30,0.00E+00,1824
19:24:24,-68,-11,28,0.00E+00,1831
19:24:25,-67,-11,29,0.00E+00,1842
19:24:26,-68,-11,29,0.00E+00,1833
19:24:27,-72,-11,30,0.00E+00,1825
19:24:28,-71,-11,30,0.00E+00,1830
19:24:29,-69,-11,29,0.00E+00,1829
19:24:30,-69,-11,29,0.00E+00,1824
19:24:31,-70,-11,29,0.00E+00,1841
19:24:32,-69,-11,28,0.00E+00,1831
19:24:33,-66,-11,29,0.00E+00,1835
19:24:34,-72,-11,29,0.00E+00,1831
19:24:35,-70,-11,29,0.00E+00,1824
19:24:36,-70,-11,29,0.00E+00,1829
19:24:37,,,,0.00E+00,1838
19:24:38,-71,-11,29,0.00E+00,1832
19:24:39,-71,-11,29,0.00E+00,1835
19:24:40,-71,-11,29,0.00E+00,1823
19:24:41,-67,-11,29,0.00E+00,1828
19:24:42,-71,-11,29,0.00E+00,1840
19:24:43,-70,-11,30,0.00E+00,1832
19:24:44,-68,-11,29,0.00E+00,1823
19:24:45,-70,-11,29,0.00E+00,1832
19:24:46,-67,-11,29,0.00E+00,1829
19:24:47,-69,-11,30,0.00E+00,1842
19:24:48,-68,-11,30,0.00E+00,1830
19:24:49,-69,-11,30,0.00E+00,1832
19:24:50,-69,-11,30,0.00E+00,1819
19:24:51,,,,0.00E+00,1841
19:24:52,-69,-11,30,0.00E+00,1823
19:24:53,-70,-11,30,0.00E+00,1841
19:24:54,-70,-11,30,0.00E+00,1832
19:24:55,-70,-11,30,0.00E+00,1828
19:24:56,-68,-11,30,0.00E+00,1822
19:24:57,-68,-11,30,0.00E+00,1838
19:24:58,-67,-11,29,0.00E+00,1829
19:24:59,-67,-11,29,0.00E+00,1837
19:25:00,-68,-11,30,0.00E+00,1833
19:25:01,-68,-11,30,0.00E+00,1822
19:25:02,-67,-11,30,0.00E+00,1832
19:25:03,-71,-11,30,0.00E+00,1839
19:25:04,-71,-11,29,0.00E+00,1821
19:25:05,,,,0.00E+00,1836
19:25:06,-70,-11,29,0.00E+00,1822
19:25:07,-71,-11,29,0.00E+00,1835
19:25:08,-71,-11,30,0.00E+00,1832
19:25:09,-71,-11,29,0.00E+00,1836
19:25:10,-70,-11,30,0.00E+00,1835
19:25:11,-67,-11,30,0.00E+00,1821
19:25:12,-70,-11,30,0.00E+00,1839
